id,author_id,text_1,text_2,label
1,A1000,สิ่งแวดล้อมมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าสิ่งแวดล้อมมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
2,A1001,พลังงานทางเลือกมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าพลังงานทางเลือกมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
3,A1002,เศรษฐกิจไทยมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าเศรษฐกิจไทยมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
4,A1003,ภูมิอากาศมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าภูมิอากาศมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
5,A1004,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
6,A1005,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
7,A1006,สิ่งแวดล้อมมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าสิ่งแวดล้อมมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
8,A1007,นโยบายรัฐบาลมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่านโยบายรัฐบาลมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
9,A1008,เศรษฐกิจไทยมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าเศรษฐกิจไทยมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
10,A1009,เศรษฐกิจไทยมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าเศรษฐกิจไทยมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
11,A1010,พลังงานทางเลือกมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าพลังงานทางเลือกมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
12,A1011,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
13,A1012,สุขภาพจิตมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าสุขภาพจิตมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
14,A1013,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
15,A1014,เศรษฐกิจไทยมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าเศรษฐกิจไทยมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
16,A1015,นโยบายรัฐบาลมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่านโยบายรัฐบาลมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
17,A1016,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
18,A1017,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
19,A1018,นโยบายรัฐบาลมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่านโยบายรัฐบาลมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
20,A1019,สิ่งแวดล้อมมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าสิ่งแวดล้อมมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
21,A1020,พลังงานทางเลือกมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าพลังงานทางเลือกมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
22,A1021,ระบบการศึกษามีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าระบบการศึกษามีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
23,A1022,พลังงานทางเลือกมีผลกระทบต่อวิถีชีวิตของประชาชนอย่างมาก โดยเฉพาะในพื้นที่ชนบท,การศึกษาพบว่าพลังงานทางเลือกมีแนวโน้มเปลี่ยนแปลงในช่วง 5 ปีที่ผ่านมา,1
